"treat_invite","pct_missing","mosques"
0,-0.142789274,1.208702683
1,0.235896796,1.552795053
0,0.672770143,2.362669706
1,-0.030390643,2.376909971
1,-0.123102747,1.9041574
1,-0.158329308,2.979737759
1,-0.034995485,1.464557648
1,0.212072402,3.12360549
1,0.283299148,2.337131262
0,0.44972384,1.593625546
1,-0.111972749,3.109452724
1,0.191176578,1.590909123
1,0.303920835,1.066098094
0,0.325032532,1.751313448
1,0.366499305,0.937207103
0,0.329360604,0.668896317
1,0.240974292,0.378071845
0,0.631215274,0.449943751
1,0.781481147,0.165050551
1,1.033569813,0.543675244
0,0.762224972,0.329001486
1,1.059723258,0.363954008
1,0.868876159,0.173370317
1,0.455629647,1.398601413
1,0.420078933,1.07296133
1,0.279910833,0.334001333
1,0.123119302,0.277392507
1,0.645330548,0.240847781
0,0.645224571,0.307550371
1,1.075092196,1.129688263
1,0.71540463,2.244165182
0,1.23114574,0.458452731
0,0.405927628,0.930232584
1,0.744835794,0.294117659
1,0.432939559,0.245158121
1,0.45625487,0.40766409
1,0.166213319,0.398327023
1,1.536451221,0.641231179
1,0.726778328,0.20002
0,0.82713443,0.903750539
0,0.976171732,0.442477882
1,0.928812623,1.088139296
1,0.836585939,0.689940691
1,-0.206122786,0.926569402
0,0.194385558,1.972710848
0,-0.228046149,1.729106665
1,-0.276748657,1.551590323
1,0.326938868,1.438848972
1,0.424876541,1.536688447
1,0.197034881,1.430615187
1,0.979022503,0.600137174
1,0.30432409,0.737354398
0,-0.233007729,1.877346635
0,-0.20526053,1.657785654
1,0.855778754,1.689189196
1,-0.231940135,1.241310835
1,-0.045621175,0.756334305
1,0.503176093,0.655093372
0,1.11737287,0.141502753
1,0.31458196,0.279095739
0,0.228086814,0.189717323
0,0.798025787,0.385505021
1,0.215165034,0.434467763
0,0.233343154,3.128911257
1,0.31693849,6.889050007
0,0.446225047,0.776548266
1,0.225298584,2.563163757
1,-0.221368685,3.211303711
0,0.089653142,4.494381905
1,0.54512912,2.767208576
1,0.310572356,3.75939846
0,0.625976682,1.40884757
1,0.294421017,2.191180468
1,0.437476903,2.93599534
0,0.232981279,1.393816471
0,-0.278021842,1.702610612
1,0.563462079,1.994813442
0,0.694800019,1.210067749
1,0.129682615,1.772002339
1,-0.077612951,1.801801801
1,0.25800541,1.460564733
1,0.241510585,1.488833785
0,0.454516113,1.438848972
1,0.228393555,1.18156755
1,0.308673084,2.385685921
0,0.123033278,1.785714269
1,0.156313837,1.358695626
1,0.551029205,2.120890856
1,0.316920578,1.631321311
1,0.317687184,1.622498631
0,0.259392768,3.322259188
0,0.226812914,1.269035578
1,0.227375895,1.038421631
0,0.320968568,1.243394494
1,0.114239812,1.414093852
1,-0.086680137,1.068376064
1,0.089259334,0.813890398
0,0.310358435,0.457456529
1,0.462190002,0.81234771
0,0.214243189,2.629848719
1,0.545998096,1.714677691
1,0.106976844,2.325581312
1,0.21238099,1.651186824
1,-0.127430066,2.656546593
1,0.592933059,3.877639055
0,0.536506295,3.118179083
0,0.504606605,1.87969923
0,1.674307823,1.587931752
1,-0.354756057,1.541069508
1,0.639569402,2.105263233
0,0.682731509,1.320713162
1,1.242212534,1.518602848
0,0.274365813,1.893491149
1,0.808059156,2.812675714
1,0.560009718,0.872219801
1,0.326853454,1.697792888
1,0.430109978,3.15789485
0,0.397221416,1.906257033
1,0.496908724,1.917545557
1,0.523238063,3.599280119
1,0.744277894,2.830188751
0,0.580057502,2.309468746
1,0.41077441,0.938967109
1,-0.046609614,1.125763893
0,0.328832954,1.447701812
1,0.121313758,0.769230783
0,0.013561186,0.957243145
0,-0.092180386,1.649620533
1,-0.344270229,0.671591699
1,0.376064181,0.84961766
1,0.21627602,0.814774573
1,0.703721106,0.86692673
0,0.633978605,1.065643668
0,0.143173948,0.649350643
0,-0.032232936,0.876936555
1,-0.219791919,1.310902357
1,0.040396694,0.794070959
1,0.071536846,0.550660789
1,-0.129866451,0.478927195
0,0.484713346,1.459854007
1,0.314116836,0.667111397
1,0.552169263,0.558659196
1,0.068595372,1.124437809
1,0.165269896,0.879971862
1,0.287247241,1.232177377
0,0.26383242,1.171875
1,-0.053955756,0.797321022
1,-0.336122841,1.609010458
0,0.125063628,0.6018399
0,-0.117124654,0.81455338
1,-0.053519189,2.040059328
1,0.696343422,0.839630544
1,0.470656991,1.191043377
0,0.391863316,1.069518685
1,0.593668461,0.318471342
1,0.331452459,0.860030115
0,0.175219372,0.897504926
1,-0.041328792,1.143641353
1,0.214882165,1.515534282
0,0.231314763,2.053990602
1,0.271017373,1.972386599
0,0.288661867,1.312828183
1,0.457649052,1.669250011
0,0.049918618,1.036376834
1,0.434440196,0.895789802
1,0.501462936,1.242236018
1,0.093862087,1.366493583
0,0.082503468,1.662510395
1,-0.147954971,1.640881419
0,0.318381995,1.020408154
1,0.245186836,0.888888896
0,-0.125674769,1.025040269
1,0.17162782,0.937207103
1,-0.10084708,0.472664237
1,0.229865074,0.41050902
1,-0.046815131,0.839912653
0,-0.209985286,0.804262578
1,-0.143578351,0.737463117
1,0.36544928,1.682439566
0,0.114694804,1.776198983
